Tweet,Label
Selalu pakai <PROVIDER_NAME> belum pernah pakai <PROVIDER_NAME> dan merasakan <PROVIDER_NAME>lemot Meski <PROVIDER_NAME>mahal tapi dibarengi dengan kualitas,Positive
CS <PROVIDER_NAME> <PROVIDER_NAME> emang paling fast response sama keluhan konsumen. Beda dengan operator sebelah! #opinipenjualpulsa,Positive
"Ini prinsip soalnya <PROVIDER_NAME> lebih murah dari <PROVIDER_NAME>, masalah sinyal disini Alhamdulillah kencang karena di kota besar kok",Positive
Terbaik Buat <PROVIDER_NAME> <PROVIDER_NAME>,Positive
Kembali ke paketan <PROVIDER_NAME> <PROVIDER_NAME>,Positive
<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME>,Positive
lebih baik <PROVIDER_NAME>,Positive
Yang gratisan memang menyenangkan <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME> #kuotagratis <URL>,Positive
Pindah provider saja kali ya buat internetan #kuning lemot... Dengar dari teman si #biru lebih bagus <PROVIDER_NAME> <PROVIDER_NAME>,Positive
<PROVIDER_NAME> <PROVIDER_NAME> yg semakin kekinian bikin keki.,Positive
kecepatan internet di ciwidey segini... mantap <PROVIDER_NAME> #4glte <USER_MENTION> <URL> …,Positive
Nonton gratis dibayarin <PROVIDER_NAME> poin <PROVIDER_NAME> <PROVIDER_NAME>poin,Positive
"Belum lama pakai <PROVIDER_NAME>, alhamdulillah selalu bermanfaat sinyalnya. #gsm #handphone <PROVIDER_NAME> #Simpati",Positive
Terimakasih <PROVIDER_NAME> <URL>,Positive
Makin mantap saja si <PROVIDER_NAME>. Sekali SMS tarifnya 300.,Positive
"alhamdulillah sudah beres pakai <PROVIDER_NAME> <PROVIDER_NAME>, daripada nunggu konfirmasi <PROVIDER_NAME> yg gak akan pernah datang. #janji… <URL>",Positive
<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang <PRODUCT_NAME> dari <PROVIDER_NAME> #<PRODUCT_NAME> <PROVIDER_NAME>,Positive
Asik juga kencang begini <PROVIDER_NAME>,Positive
Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,Positive
"Upload video 1GB kurang dari 4 menit, memang mantab ini kecepatan <PROVIDER_NAME>",Positive
Dapat bonus kuota 2GB dan 100 menit nelpon ke semua operator dari <PROVIDER_NAME> <PROVIDER_NAME> <PRODUCT_NAME> <URL>,Positive
Kuota masih AMAN <PROVIDER_NAME> #capture #kuotaaman Di Kota Mamuju <URL>,Positive
Masih ada yang hemat <PROVIDER_NAME>,Positive
Pakai paket <PRODUCT_NAME> <PROVIDER_NAME> irit. <PROVIDER_NAME> <PROVIDER_NAME> <URL>,Positive
"dibuang sayang karena terlalu setia, lagipula nomernya bagus <PROVIDER_NAME> <PROVIDER_NAME> <URL>",Positive
Baru merasakan segitu besarnya ping.. 36604 ribu lumayanlah buat bukber <PROVIDER_NAME> <PROVIDER_NAME>,Positive
Itu yang pada nulis disertai hashtag <PROVIDER_NAME>Lemot hidupnya dimana sih? Saya di Ungaran sini kok pakai <PROVIDER_NAME> lancar2 aja tuh.,Positive
Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal,Positive
mending pindah ke <PROVIDER_NAME> aja <PROVIDER_NAME>,Positive
"Saya pakai <PRODUCT_NAME> <PROVIDER_NAME> <PROVIDER_NAME> karena jelas, terjangkau .. pake <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME> gak jelas, mahal",Positive
"Siapa yang mau ditelpon, mumpung ada gratisan nih ... <PROVIDER_NAME>",Positive
Tumben <PROVIDER_NAME> murah hati padaKu #onlyForU Jangan2 semua pelanggan diginikan.,Positive
"Canggih nih, nambah hari malah nambah kuotanya . #kuota <PROVIDER_NAME> <PRODUCT_NAME> #4g <URL>",Positive
<PROVIDER_NAME> PENUH DENGAN BONUS <PROVIDER_NAME>,Positive
"Sinyal <PROVIDER_NAME> hebat, sampai puncak Halimun masih tetap on, mantap",Positive
Nelpon 1.000 Dapat kouta 1gb,Positive
Makin betah aja sama kamu.. :v #operator :v <PROVIDER_NAME>,Positive
lumayan ini murah meriah <PROVIDER_NAME>,Positive
"WOW, Saya baru mendapatkan hadiah fantastis dari <PRODUCT_NAME>! <PRODUCT_NAME> membuat semuanya jadi simpel <URL> <PROVIDER_NAME>",Positive
"Cuma Modal Isi Pulsa 10ribu dapet 2GB Gratis dari <PROVIDER_NAME> :v Tumben Lagi baik, semoga Promonya makin murah murah <PROVIDER_NAME> :D . . <PROVIDER_NAME>",Positive
Ajaib min <PROVIDER_NAME> kartu saya bisa diisi pulsa & digunakan kembali.. terimakasih ya <PROVIDER_NAME>,Positive
Mantap deh <PROVIDER_NAME>. Cuma isi pulsa 25ribu dapat bonus paket data 3GB. Terimakasih juga <PROVIDER_NAME> atas pelayanannya. <PROVIDER_NAME> #mantapjiwa,Positive
terimakasih paket data sudah aktif dan normal. terimakasih <PROVIDER_NAME> cukup puas dengan pelayanannya. <PROVIDER_NAME> <PROVIDER_NAME>,Positive
banyak Perusahaan melupakan hal ini & banyak konsumen menghapus pesan tanpa membacanya menyalahkan padahal sudah diingatkan thanks <PROVIDER_NAME>,Positive
Terima kasih <PROVIDER_NAME> !! <PROVIDER_NAME>,Positive
Hore....<PROVIDER_NAME> Ada sinyal.....thanks <PROVIDER_NAME> .... <PROVIDER_NAME>,Positive
Alhamdulillah sambil nunggu subuh bisa melihat lantunan Adhan Styles dari Mekah dan Madinah dengan jelas karena paket Internet <PROVIDER_NAME> saya bagus,Positive
"Dengan <PROVIDER_NAME> juga bisa lihat youtube selama setahun tanpa kuota, makin keren aja.",Positive
Dengan jaringan 4G super cepat dari <PROVIDER_NAME> smartphone kamu terus terkoneksi dan bisa pantau aktivitas di sosial media :,Positive
Menggunakan medsos harus sebijak mungkin. Apalagi ada fasilitas makin oke kayak FB gratis 30MB & free YouTube/Yonder/Genflix dari <PROVIDER_NAME>,Positive
"pagi itu, menyegarkan mata selain lari2 kecil, bisa juga dengan nikmatin internet, atau nelpon yang super murah, suara jernih pake <PROVIDER_NAME>. gitu!",Positive
"Buka puasa sambil streaming di YouTube lancar banget pake <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",Positive
Selain jaringan 4G <PROVIDER_NAME> yang sangat luas temanku juga bisa nelpon ke operator lain secara gratis & suaranya juga jernih banget,Positive
Koneksi internet <PROVIDER_NAME> yg lancar sangat membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,Positive
Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>,Positive
Nonton gratis dibayarin <PROVIDER_NAME> poin <PROVIDER_NAME> <PROVIDER_NAME>poin #passengers…,Positive
Makasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME> mu,Positive
Makan malam gratis hari ini hasil tuker <PROVIDER_NAME> Poin #7eleven #sevel <PROVIDER_NAME>… <URL>,Positive
Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>,Positive
Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,Positive
Makan malam gratis hari ini hasil tukar <PROVIDER_NAME> Poin <PROVIDER_NAME>… <URL>,Positive
"Buka puasa sambil streaming di YouTube lancar banget pakai <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",Positive
Koneksi internet <PROVIDER_NAME> yang lancar sangat membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,Positive
"<PROVIDER_NAME> Nelpon lebih murah pake JS, kurang dari Rp1/detik. <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME>",Positive
"Terima kasih PT <PROVIDER_NAME> , kiriman GRATIS <PROVIDER_NAME> Home-nya sudah tiba.",Positive
Kualitas sinyal 4G <PROVIDER_NAME> ikut melengkapi meriahnya festival tersebut.,Positive
saya pindah ke <PROVIDER_NAME> yang memang sudah terbukti,Positive
Ini baru #koneksi #internet #4g <PROVIDER_NAME> <URL>,Positive
<PROVIDER_NAME> BagiBerkah ...gak ada kata susah ..cukup sekali sentuh jadi mudah dan berfaedah,Positive
<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.,Positive
Santai pakai <PROVIDER_NAME> <PROVIDER_NAME>4G <PROVIDER_NAME>BagiBerkah bisa diandalkan,Positive
banyak yang masih setia memggunakan <PROVIDER_NAME>,Positive
"Yang saya pengen <PROVIDER_NAME> selangkah lebih maju dari yang lain baik layanan ataupun jaringan 3G atau 4G,",Positive
Yuk pakai <PROVIDER_NAME> Rp1 gratis 1GB,Positive
Lebaran tetap pakai <PROVIDER_NAME> yaa #Rp1 gratis 1GB,Positive
sinyal 4G <PROVIDER_NAME> dipalembang lancar,Positive
Keren di rembang ada sinyal 4G <PROVIDER_NAME>,Positive
sinyal <PROVIDER_NAME> kuat banget,Positive
4G <PROVIDER_NAME> dapat banget disini,Positive
"Berkat <PROVIDER_NAME> mudiknya jd nyaman,mampir ke posko pun senang..",Positive
Terimakasih <PROVIDER_NAME>,Positive
untungnya sudah pakai <PROVIDER_NAME>,Positive
Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. terbaik,Positive
"<PROVIDER_NAME> memang jauh lebih murah dari <PROVIDER_NAME>, banyak bonusnya lagi",Positive
Sinyal 4g nya stabil nih. mantap <PROVIDER_NAME> <URL>,Positive
"Hore, dapat makan malam gratis hari ini karena <PROVIDER_NAME> Poin #7eleven #sevel <PROVIDER_NAME>… <URL>",Positive
*ganti* paket <PROVIDER_NAME> 5Gb langsung lancar dan #TransaksiNormal,Positive
Alhamdulillah gratisan youtube dari <PROVIDER_NAME> pada bulan Ramadhan ini berfaedah sekali.,Positive
<PROVIDER_NAME> ayo kamu bisa,Positive
Mending ngopi nyantai sambil dengar musik klasik di youtube gratis dari jaringan <PROVIDER_NAME> yang keren,Positive
ada banyak fitur dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>,Positive
"Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh",Positive
Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>.,Positive
Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya!,Positive
Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga..,Positive
"Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget",Positive
"Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>",Positive
"Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar",Positive
belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.,Positive
"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar.",Positive
Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah,Positive
Tiba-tiba ada sinyal 4g di rumahku. Biasanya gak ada.. lancar juga. <PROVIDER_NAME>,Positive
Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.,Positive
Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa,Positive
koneksinya makin lancar pakai <PROVIDER_NAME>,Positive
pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!!,Positive
"Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,",Positive
"<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD",Positive
Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun,Positive
Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah,Positive
"Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :))",Positive
Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.,Positive
"Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur",Positive
Alhamdulillah lancar pakai <PROVIDER_NAME>,Positive
"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.",Positive
"di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya.",Positive
Selamat pagi <PROVIDER_NAME> bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja <URL>,Negative
Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,Negative
Selamat malam PENDUSTA <PROVIDER_NAME>,Negative
Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,Negative
RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,Negative
keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,Negative
#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,Negative
"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!",Negative
<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya,Negative
"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>",Negative
"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>",Negative
<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>,Negative
#internetlelet  <PROVIDER_NAME> ga sesuai iklan,Negative
"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>",Negative
kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>,Negative
Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,Negative
Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>,Negative
Makin jelek jaringan di takalar <PROVIDER_NAME>,Negative
<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>,Negative
<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...,Negative
Jaringan internet <PROVIDER_NAME> di sumba timur parah....,Negative
"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>",Negative
"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan",Negative
cepat banget data <PROVIDER_NAME> habis <URL>,Negative
<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App!,Negative
"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",Negative
Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...,Negative
"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER",Negative
Jaringan 4G kecepatan 2G <PROVIDER_NAME>,Negative
Paket extra combo kok lemot ya <PROVIDER_NAME>,Negative
Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>,Negative
"Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..",Negative
solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas. ngomong dong <PROVIDER_NAME>,Negative
Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>,Negative
Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>,Negative
Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>,Negative
#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>,Negative
"Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>",Negative
Sinyalmu kenapa <PROVIDER_NAME>,Negative
<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>,Negative
RT <USER_MENTION>: sudah lama gak pakai <PROVIDER_NAME>,Negative
Saya gak benci tapi kelakuan <USER_MENTION> yang bikin #Boikot<PROVIDER_NAME> Pendukung #PKI coba kamu lihat iklan <PROVIDER_NAME> ada gambar palu arit,Negative
RT <USER_MENTION>: <USER_MENTION> HT Nya #PuasPake<PROVIDER_NAME> Noh. aku pakek <PROVIDER_NAME> Gimana thu..…,Negative
"<PROVIDER_NAME> bisa gak sih kuota 4G digabung saja sama 3G, sayang gak terpakai mubazir... Mubazir itu temennya setan lho!! <PROVIDER_NAME>",Negative
Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>,Negative
Bagaimana ini <PROVIDER_NAME> 4G tapi lemot,Negative
Nelepon ke sesama <PROVIDER_NAME> pulsa 20.000 cuma cukup buat 23 menit? <PROVIDER_NAME> BANGSAT..............<PROVIDER_NAME>…<URL>,Negative
Signal 4G <PROVIDER_NAME> bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh,Negative
<PROVIDER_NAME> tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok <PROVIDER_NAME> makin mahal?,Negative
JARINGAN <PROVIDER_NAME> tidak ada SINYAL untuk wilayah Sindangkasih - ciamis <PROVIDER_NAME>,Negative
"<PROVIDER_NAME> kalo bukan karena nomer sudah lama, pasti sudah dibuang saja dari dulu. <PROVIDER_NAME>",Negative
<PROVIDER_NAME> jadi yang dizalimi bukan cuma saya ya? <PROVIDER_NAME> <URL>,Negative
Sinyal jelek! Komplain gak direspon! #Boikot<PROVIDER_NAME> <PROVIDER_NAME> <URL>,Negative
"Alhamdulillah mulai hari, ini 2 kartu telpon dan 2 kartu internetan kami gak pakai <PROVIDER_NAME> lagi. #Boikot<PROVIDER_NAME>",Negative
#Boikot<PROVIDER_NAME> bentuk tekanan masyarakat agar perusahaan publik sekelas <PROVIDER_NAME> lebih berhati-hati ke depannya… <URL>,Negative
<USER_MENTION> <USER_MENTION> <PROVIDER_NAME> Alhamdulillah saya gak pakai <PROVIDER_NAME> dari dulu #Boikot<PROVIDER_NAME>,Negative
<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>,Negative
Internet mahal turunkan harga paket <PROVIDER_NAME>,Negative
"Webnya <PROVIDER_NAME> dibajak ya? Cie dibajak. Semoga habis ini paket2, spam2 dan promo2nya makin subur. <PROVIDER_NAME>",Negative
"<PROVIDER_NAME> semakin kesini semakin mahal, jaringannya 4G tapi lelet, pesan masukku penuh isinya pesan promo yang nyedot pulsa semua <PROVIDER_NAME>",Negative
Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!! <PROVIDER_NAME> <PRODUCT_NAME> <PROVIDER_NAME>,Negative
"Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah, 3g aja gak dapat. makin hari makin jadi ini provider <PROVIDER_NAME> <PROVIDER_NAME>",Negative
Keamanan <PROVIDER_NAME> dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! <URL>,Negative
harga jual & jumlah per rupiah dari kilobyte internet... memang <PROVIDER_NAME> juara mahalnya sih tsel vs <PROVIDER_NAME> <PROVIDER_NAME>,Negative
<PROVIDER_NAME> <PROVIDER_NAME> kenapa jaringan 4g di sembungan bangunjiwo kasihan bantul sudah 3minggu sangat tidak stabil. kuota <PROVIDER_NAME> terbuang,Negative
<PROVIDER_NAME> <PROVIDER_NAME> apakah setelah mendapat banyak customer sekarang 4G di Sembungan Bangunjiwo Jogja jadi gak stabil?,Negative
Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai. <PROVIDER_NAME>,Negative
Malas banget yang 12Gb jadi 6Gb <PROVIDER_NAME> masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh,Negative
"tolong lakukan reset di nomor saya Jaringan lemah, memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE <PROVIDER_NAME> <PROVIDER_NAME>",Negative
"Jaringan 4g <PROVIDER_NAME> di cimahi kenapa yah, kok lambat ?, sudah 4 hari ini. Tapi kalo di kota bandung lancar jaya..",Negative
"<PROVIDER_NAME> parah, cuma bisa di 3G <PROVIDER_NAME> <PROVIDER_NAME>",Negative
<PROVIDER_NAME> Koneksi 4G rasa GPRS <PROVIDER_NAME>,Negative
Kapan nih akses data di kecamatan cisewu kabupaten garut bisa 4G,Negative
<PROVIDER_NAME> <PROVIDER_NAME>4GLTE <PROVIDER_NAME> #BOGOR #AREA <URL> … UDAH 3 BULAN TIDAK ADA TANGGAPAN YG JELAS,Negative
"tidak direkomendasikan, baru coba paket <PROVIDER_NAME> mingguan, tes pakai twitter 30menit pulsa terus berkurang, langsung unreg. <PROVIDER_NAME>",Negative
ayo penuhi viralkan keras #Boikot<PROVIDER_NAME>! Nomor sy nomer <PROVIDER_NAME> cantik dr th2007 lgsg sy buang!Jgn main2 dg umat Islam yg brsatu,Negative
AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 <URL>,Negative
"Selama ini saya pake <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>",Negative
CEO <PROVIDER_NAME> harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,Negative
Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! #Boikot<PROVIDER_NAME>,Negative
"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering nyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",Negative
Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,Negative
Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya <PROVIDER_NAME> <PROVIDER_NAME>,Negative
"Mohon di up jaringan 4G di wilayah Morowali, sangat buruk.. <PROVIDER_NAME> <PROVIDER_NAME>",Negative
Jaringan <PROVIDER_NAME> di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team <PROVIDER_NAME>,Negative
Semakin hari kualitas dan pelayanannya semakin buruk. Selama 5 bulan melakukan pelaporan namun tidak ada tindakan perbaikan. <PROVIDER_NAME>,Negative
<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih,Negative
Uji kecepatan NYATA di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,Negative
Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya <PROVIDER_NAME> <PROVIDER_NAME>,Negative
ayo viralkan keras #Boikot<PROVIDER_NAME>! Nomor saya nomer <PROVIDER_NAME> cantik dari tahun 2007 saya buang! Jangan main2 dengan umat Islam yang brsatu,Negative
AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212,Negative
"Selama ini saya pakai <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>",Negative
"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering menyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",Negative
<PROVIDER_NAME> kamu kenapa sinyalnya php <PROVIDER_NAME>,Negative
